words,counts
trump,1177
people,828
like,783
one,612
would,594
get,584
dont,551
time,419
know,413
right,392
think,389
stupid,373
year,350
make,346
need,340
say,338
thing,313
go,309
even,305
fool,292
president,289
want,289
see,281
way,278
good,268
many,267
country,267
state,245
much,244
never,243
ignorant,242
really,242
well,236
going,231
government,229
im,229
fact,226
liberal,220
could,217
youre,217
day,214
nothing,213
thats,209
idiot,208
world,207
comment,207
tax,205
man,203
cant,199
white,199
money,198
let,196
another,188
said,188
take,188
every,186
american,185
come,185
left,184
look,183
life,182
also,181
obama,181
he,178
back,176
guy,174
vote,173
doesnt,170
still,168
problem,163
give,162
anyone,157
lie,157
republican,157
anything,155
work,155
clown,155
care,154
ridiculous,152
ever,152
pay,152
stop,152
put,151
real,151
keep,151
job,150
believe,150
made,150
liar,150
dumb,149
something,148
someone,147
woman,146
better,145
didnt,145
always,145
public,144
hillary,144
little,143
person,143
last,142
party,142
canada,142
law,141
first,140
enough,139
point,136
mean,135
loser,134
far,134
new,134
issue,134
show,133
two,132
post,130
troll,129
actually,126
clinton,126
sure,126
old,125
call,125
support,124
bad,124
lot,123
news,122
america,121
may,121
hypocrite,120
black,120
yes,119
without,118
use,118
since,118
house,118
pathetic,118
racist,117
wrong,117
election,116
silly,115
business,115
name,114
must,114
best,113
read,113
child,113
word,113
political,113
ignorance,113
away,113
family,112
great,112
done,111
got,110
tell,108
big,108
democrat,108
change,108
corrupt,106
thought,106
try,106
million,106
around,105
medium,105
love,105
trudeau,105
donald,105
kind,104
matter,104
school,103
conservative,103
feel,103
isnt,102
war,102
called,102
free,101
leader,101
yet,100
making,100
help,100
maybe,100
office,99
trying,99
kid,98
damn,98
part,97
kill,97
everyone,97
long,97
sad,96
article,95
might,95
muslim,94
course,94
etc,94
already,93
cannot,93
least,93
stupidity,92
gun,92
canadian,91
oh,91
either,90
human,90
others,89
le,89
city,88
next,88
else,88
find,88
hope,88
power,87
system,87
run,87
mr,87
instead,86
garbage,85
please,85
reason,84
lying,83
agree,83
act,83
high,83
history,83
true,82
end,81
citizen,81
guess,81
seems,80
group,80
place,80
order,78
head,78
live,78
used,78
oil,77
deal,77
trash,77
case,76
elected,76
nation,75
saying,75
moron,75
voter,75
question,75
action,75
hard,75
probably,75
useless,74
hand,74
game,74
getting,74
cut,74
understand,74
alaska,74
men,73
cost,73
poor,73
friend,72
truth,72
home,72
rest,72
side,71
talk,71
simply,71
hate,70
ive,70
ill,70
hypocrisy,70
mind,69
statement,69
russian,69
opinion,69
bill,68
