words,counts
stupid,4541
trump,4511
idiot,4127
like,3409
people,3381
get,2443
one,2404
dont,2234
would,2205
think,1669
know,1633
time,1520
right,1468
make,1442
go,1381
need,1319
say,1286
fool,1261
year,1180
want,1176
youre,1167
moron,1152
ignorant,1148
thing,1148
even,1143
cant,1075
good,1068
see,1061
really,1039
way,1019
country,1011
comment,999
liberal,986
president,983
white,965
well,936
never,923
going,919
many,910
dumb,908
he,903
another,889
stupidity,885
man,884
thats,878
left,878
take,860
nothing,841
much,834
look,814
state,808
let,801
im,798
guy,794
every,783
government,779
back,778
american,763
money,758
world,751
woman,750
loser,747
fact,735
said,732
could,729
tax,724
crap,712
day,705
come,700
racist,686
pathetic,682
keep,673
vote,664
life,664
still,627
republican,625
doesnt,625
job,611
anyone,609
stop,606
someone,606
anything,602
black,602
better,600
obama,598
ever,595
believe,593
give,591
work,574
real,572
post,571
person,569
canada,568
put,567
also,564
problem,551
liar,547
law,547
bad,544
didnt,536
care,536
little,532
enough,531
ha,530
damn,526
mean,524
got,520
old,517
first,512
lie,512
something,511
kill,509
hillary,508
always,504
party,502
as,498
pay,497
show,496
america,493
ridiculous,490
call,485
hate,485
child,479
actually,477
jerk,474
made,474
great,468
must,466
news,466
maybe,464
point,462
muslim,459
clown,456
sure,455
canadian,454
two,453
use,453
oh,452
troll,452
big,451
word,450
democrat,443
read,440
support,440
hypocrite,435
lot,434
yes,434
last,432
yet,432
hope,431
new,425
tell,424
try,423
house,419
trying,416
clinton,414
around,411
kid,410
change,406
wrong,405
isnt,400
idiotic,400
love,399
away,398
public,396
article,394
head,391
without,389
everyone,388
help,388
trudeau,387
million,385
far,385
kind,382
gun,381
garbage,380
please,379
election,377
may,376
making,376
medium,375
since,372
god,370
business,366
name,362
voted,362
run,361
issue,360
family,360
free,360
long,358
live,355
matter,354
best,353
either,353
lying,352
office,352
called,352
else,352
donald,351
understand,351
political,350
thought,350
reason,347
already,347
bunch,346
done,342
leader,341
le,338
disgusting,337
idea,335
end,335
true,334
poor,330
ignorance,328
war,328
human,328
silly,327
least,325
part,325
complete,324
saying,323
find,319
conservative,319
feel,318
shit,317
course,317
wing,316
place,314
trash,310
sad,309
instead,307
next,307
used,306
piece,303
probably,302
ill,301
others,301
etc,300
sick,300
alaska,300
wont,298
corrupt,298
might,298
school,297
elected,296
criminal,294
voter,293
hell,292
power,292
guess,289
getting,289
hand,287
agree,287
men,285
full,285
home,284
bill,283
sound,283
nonsense,282
start,282
hard,282
mind,281
deal,281
dog,281
theyre,280
everything,278
mr,274
nation,274
case,272
fix,271
city,271
brain,269
story,269
history,267
sorry,266
rest,266
lost,264
act,261
suck,260
talk,260
talking,259
lol,255
death,254
supporter,254
fuck,253
face,253
scum,253
russian,252
politician,251
cannot,251
cut,250
opinion,250
system,250
hey,249
question,249
terrorist,249
high,246
yeah,246
ive,245
useless,245
clearly,245
group,242
rather,242
citizen,241
cost,241
crime,240
fake,240
oil,239
side,238
stand,238
friend,238
boy,237
today,237
action,237
usa,236
sex,236
gay,235
wow,235
statement,231
police,230
pretty,230
reality,227
folk,225
traitor,224
pig,223
seems,223
illegal,222
wonder,221
simply,221
truth,219
there,219
policy,218
thinking,218
cause,218
worse,217
ok,217
move,216
whole,214
using,214
civil,214
continue,214
taking,213
incompetent,213
become,213
class,212
game,212
shut,211
exactly,209
truly,209
watch,208
economy,208
working,207
attack,206
buffoon,206
calling,206
arent,206
crazy,204
wouldnt,204
blame,203
shoot,202
mouth,202
absolutely,201
cop,201
russia,200
turn,200
win,199
society,199
line,196
majority,196
sense,195
past,195
whats,195
company,194
drug,194
looking,193
fire,192
number,192
completely,192
coward,191
buy,191
self,191
speech,190
seen,190
young,190
usual,188
nut,188
wasnt,188
claim,188
dead,188
order,188
realize,187
health,187
dollar,186
living,186
shes,186
funny,185
wait,185
lunatic,185
level,185
perhaps,183
nice,182
typical,182
rich,182
paid,182
campaign,181
car,181
military,181
total,181
example,181
based,180
thank,180
running,180
likely,180
coming,179
leave,179
imbecile,179
smart,179
sexual,179
except,179
thanks,178
control,178
behind,177
term,176
foolish,176
congress,175
